letter,stimType,correct_resp
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
Q,standard,
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
O,oddball,space
